id,conversation_id,manual_label,replies
1097968284102733825,1097912551038439430,anger,seriously this is bs climate change is called weather end of lesson about of meteorologist can not even predict the weather daily on the news this is just more grant money for special interest stop wasting our tax dollars on an unpoven theory
1100028581311381506,1099918265005080578,sadness,hello ladies and gentleman i did a poem known as their grievances which fights against sexual violence against girls which is rape please support me
1098431395314192384,1097987884097900544,fear,climate change is real and nature will respond to it accordingly as it did when earth was covered with active volcanoes an asteroid killed off the dinosaurs and the myriad ice ages that have come and gone life in different forms will evolve and continue
1100462023278821377,1100154569663733760,surprise,i can not wait right now for the climate change to does not feel warm out people oh wait it has to get cold before it gets hot
1099798892596678657,1099783621609750528,anger,is too stupid to understand maybe if they watched the movie after tomorrow with him maybe he will start to understand its hopeless if you expect him to understand the science our children are doomed
1100529009874690049,1100410157895315457,anger,i fully expected meghans head to spin around completely it would be nice if she let who is also prolife to educate her and the viewers on the truth about late term abortions it is not what meggie says it is
1100096891856084992,1097912551038439430,disgust,fracking some info for you included on the list of widely used chemicals are lead mercury uranium methanol radium hydrochloric acid formaldehyde ethylene glycol and many others approximately gallons of water and chemicals are used for each fracking
1098430200155582464,1098244406086377472,anger," Steinitz is helping a criminal defendant to destroy Israel. Where is Steinitz? And where is peace now? Steinitz is a member of the Black Forces. Criminally accused not for me"
1100203715783524353,1100154569663733760,surprise,emember when the alarmists said there would be no ice caps byor emember all of the scientists that have admitted either incomplete models incorrect temperature reading or under estimating the co sink capabilities of the ocean
1098119970020573185,1097912551038439430,sadness,never have and never would i have a lot of democrats in my family i choose to air my opinions using another platform is that fair for these sights to use algorithms to demonize people who use this for that specific reason well life not fair but this has gotten old
1096659609715130368,1096453162884579328,joy,i am a wind turbine but let us dance when i come to your patch  amp celebrate this amazing factory manufacturing huge blades for wind farms in the i had to fight like a tiger in government to make that investment happen we lds should be proud of what we did
1097812839224422400,1097698843997552641,anger,fact globally cc is still based on theory only to many people like yourself have full opinions with no facts you have no right to condemn belittle anyone who shares a different opinion
1097889335305592833,1097629828428132352,disgust,any ie how large of a carbon footprint the companies have that made those outfits you two are wearing how about your makeup shoes hair dyes jewelry undergarments or does it matter or do you really care
1096869500522283015,1096869493710774274,joy,it can use experience of byand many others to enable an dialogue across and support progress on identified as so important by
1100895430647472128,1100677366857285632,sadness,i am thoroughly enjoying this decline into apocalypse while we still have things like some vegetation  water and an atmosphere
1098406476325023744,1097987884097900544,fear,in a few scant centuries ockefellerepublican you and everyone in your life will all be dead does that mean we should be unconcerned about what happens to you today
1098722251548045317,1097569126426374145,anger,feel free to reread the supporting info similar storm hityears ago a climate issue not a climate change issue but then again why not push an agenda
1097263835109605377,1096749605155467270,anger,i was going to ask some questions but clearly you are a tool you were a tool yesterday you are a tool today and you will be a tool tomorrow so i think i will save my breath
1099793609585389569,1097912551038439430,surprise,so you realized they gained more ice than expected and more than what was lost showing that predicting ice loss and gain is not an exact science and we are in fact trending in the right direction
1101152783670104069,1100022620215496705,anger,the public need to get and his colleagues out of the eu parliament they are supporting legislation that keeps forcing citizens into poverty
1099426670660980736,1099231725689978880,disgust,so what is optimum temperature for the planet i do not know but i am pretty sure no one else does guess gt degrees c to go but man cannot bring it about even by consuming all the ff available likewise man will not be able to drop temp significantly by reducing co emissions
1096465517454467075,1096464441108021248,anger,we should do something about corporate and chinese influenced politicians and put an end to the mock ing bird media that is truly a national emergency
1100736741382664192,1100726004031488000,disgust,scorching the planet would raise the evaporation rate of oceans which would form clouds that is the beauty of earth s design it compensates for whatever may happen environmentally the real problem is mega over population
1099206673162473472,1099140102616465409,sadness,can not say that seeing the left tearing itself apart is painful i do not which is worse the fact the teacher has brainwashed the kids or that is a parent over shoulder
1096728213412298752,1096396055678255105,sadness,it is everybody s planet but in the last years the number of cars has increased due in part to the number of houses being built in summer the numbers increase due to second home ownership perhaps cc needs to look at that too
1099395609885396993,1099034040164864000,fear,and this perfectly sums up my view my fear of not seeing the world far outweighs my fears of bombs kidnapping climate change or anything else in this world plus who wants to live a life of fear that is no life at all
1098765357349826560,1098754051800391680,surprise,okay i know but apart from a hail storm with thunder and lightening oh my wow it was a hail stom with thunde and lightning
1096453893389733900,1096384227707404288,sadness,on that we are agreed however the question is is the current plan a proper tram network also is it value for money is is future proof on these questions it sounds as though there is no consensus
1100661689412997121,1100522521173086209,joy,with my experience working withunder the we appreciate technical and financial support to community this can only continue
1098054678674173952,1097987884097900544,anger,so they knew it was down to dozens of individuals what the fuck why did not they collect all of them to preserve the species
1100428571267555334,1100410157895315457,fear,speak for yourself i am young and it is possible for me to be concerned about my career the climate and the possibility of having kids that will enter a broken society
1099759752316219392,1099058268280741889,sadness,are you aware that k on average leave the country each year so this would see our population stabilise over the nextyears
1099182337303007233,1097912551038439430,sadness,these places like antarctica were not always under ice either so even if the most drastic thaw in thousands of years were to happen it still would not be somethin the planet has not been through
1098992954922930177,1098885155488440322,anger,another disturbing chapter in trumps creepy presidency his complete lack of regard for the future is beyond concerning keep polluting the world until it is scorched amp uninhabitable
1097577179750244352,1096810251825774592,disgust,but does she remember the role of the of course not when it suits her obinson is complicit in the covering up of human rights abuses committed by her dear friends in the dubai royal family
1099829671250644993,1097912551038439430,joy,yrs is not happening enguiniety will drive us to be more clean as a society as it has been think about how far we have come from yrs ago w hybrid cars we are at the top of the world in reducing carbon emissions already we are the standard
1097074461331914752,1096885134786220032,joy,people using their creativity and finding their voices on an important national and international issue so important that they are heard and feel they can get involved and have agency
1098629595186774023,1098624322548178944,joy,u not alone i support climate i support i even open a climate defenders social beach club in bocas del panama members requiered toclimate no maga deniers allowed
1100390422998929408,1100348761665167360,joy,well we have a fully fledged team of extension workers and professional veterinary doctors with whom we reach out to local farmers at the grass root level like you see the photos those are some of the farmers under a training thank you
1099185804146921473,1099135479885131776,joy,thanks to you amp all the spirits who understand that we have a responsibility to honour the earth with each breath each step each sip of watery life bestowed upon us from the earth steps up for everyone because stopping is truly in the public interest
